,LossNum,cost,iteration,mode,run
102,calc_loss_7,6.982018947601318,2,on-policy,0
103,calc_loss_7,6.993124961853027,3,on-policy,0
104,calc_loss_7,6.99227237701416,4,on-policy,0
105,calc_loss_7,6.993589878082275,5,on-policy,0
106,calc_loss_7,6.992974758148193,6,on-policy,0
107,calc_loss_7,6.99467658996582,7,on-policy,0
108,calc_loss_7,6.997520446777344,8,on-policy,0
109,calc_loss_7,6.994936943054199,9,on-policy,0
110,calc_loss_7,14.032474517822266,0,on-policy,1
111,calc_loss_7,8.066204071044922,1,on-policy,1
112,calc_loss_7,7.005362510681152,2,on-policy,1
113,calc_loss_7,7.017348289489746,3,on-policy,1
114,calc_loss_7,7.021478176116943,4,on-policy,1
115,calc_loss_7,7.021285057067871,5,on-policy,1
116,calc_loss_7,7.019204139709473,6,on-policy,1
117,calc_loss_7,7.019575119018555,7,on-policy,1
118,calc_loss_7,7.024100303649902,8,on-policy,1
119,calc_loss_7,7.020125389099121,9,on-policy,1
120,calc_loss_7,14.032474517822266,0,on-policy,2
121,calc_loss_7,7.720330715179443,1,on-policy,2
122,calc_loss_7,7.014914512634277,2,on-policy,2
123,calc_loss_7,7.020107269287109,3,on-policy,2
124,calc_loss_7,7.023632526397705,4,on-policy,2
125,calc_loss_7,7.021814823150635,5,on-policy,2
126,calc_loss_7,7.020391464233398,6,on-policy,2
127,calc_loss_7,7.018895149230957,7,on-policy,2
128,calc_loss_7,7.021234512329102,8,on-policy,2
129,calc_loss_7,7.022369384765625,9,on-policy,2
130,calc_loss_7,14.032474517822266,0,on-policy,3
131,calc_loss_7,7.62997579574585,1,on-policy,3
132,calc_loss_7,7.012153625488281,2,on-policy,3
133,calc_loss_7,7.022683143615723,3,on-policy,3
134,calc_loss_7,7.021238803863525,4,on-policy,3
135,calc_loss_7,7.023283958435059,5,on-policy,3
136,calc_loss_7,7.022158145904541,6,on-policy,3
137,calc_loss_7,7.022135257720947,7,on-policy,3
138,calc_loss_7,7.021550178527832,8,on-policy,3
139,calc_loss_7,7.021419525146484,9,on-policy,3
140,calc_loss_7,14.032474517822266,0,on-policy,4
141,calc_loss_7,7.630231857299805,1,on-policy,4
142,calc_loss_7,7.012107849121094,2,on-policy,4
143,calc_loss_7,7.024277210235596,3,on-policy,4
144,calc_loss_7,7.024558067321777,4,on-policy,4
145,calc_loss_7,7.022945880889893,5,on-policy,4
146,calc_loss_7,7.023043155670166,6,on-policy,4
147,calc_loss_7,7.023422718048096,7,on-policy,4
148,calc_loss_7,7.025001049041748,8,on-policy,4
149,calc_loss_7,7.020027160644531,9,on-policy,4
150,calc_loss_8,14.032474517822266,0,on-policy,0
151,calc_loss_8,8.904627799987793,1,on-policy,0
152,calc_loss_8,7.2579665184021,2,on-policy,0
153,calc_loss_8,6.974974155426025,3,on-policy,0
154,calc_loss_8,6.933266639709473,4,on-policy,0
155,calc_loss_8,6.924365043640137,5,on-policy,0
156,calc_loss_8,6.919156551361084,6,on-policy,0
157,calc_loss_8,6.91950798034668,7,on-policy,0
158,calc_loss_8,6.917422771453857,8,on-policy,0
159,calc_loss_8,6.919379711151123,9,on-policy,0
160,calc_loss_8,14.032474517822266,0,on-policy,1
161,calc_loss_8,8.729788780212402,1,on-policy,1
162,calc_loss_8,7.207822799682617,2,on-policy,1
163,calc_loss_8,6.96161413192749,3,on-policy,1
164,calc_loss_8,6.925504207611084,4,on-policy,1
165,calc_loss_8,6.917935848236084,5,on-policy,1
166,calc_loss_8,6.914784908294678,6,on-policy,1
167,calc_loss_8,6.913210868835449,7,on-policy,1
168,calc_loss_8,6.915698528289795,8,on-policy,1
169,calc_loss_8,6.909664154052734,9,on-policy,1
170,calc_loss_8,14.032474517822266,0,on-policy,2
171,calc_loss_8,8.732151985168457,1,on-policy,2
172,calc_loss_8,7.235058307647705,2,on-policy,2
173,calc_loss_8,6.983071327209473,3,on-policy,2
174,calc_loss_8,6.939551830291748,4,on-policy,2
175,calc_loss_8,6.9257121086120605,5,on-policy,2
176,calc_loss_8,6.921168804168701,6,on-policy,2
177,calc_loss_8,6.91838264465332,7,on-policy,2
178,calc_loss_8,6.921514511108398,8,on-policy,2
179,calc_loss_8,6.918083190917969,9,on-policy,2
180,calc_loss_8,14.032474517822266,0,on-policy,3
181,calc_loss_8,9.339293479919434,1,on-policy,3
182,calc_loss_8,7.320637226104736,2,on-policy,3
183,calc_loss_8,6.989265441894531,3,on-policy,3
184,calc_loss_8,6.935751914978027,4,on-policy,3
185,calc_loss_8,6.9243292808532715,5,on-policy,3
186,calc_loss_8,6.919445037841797,6,on-policy,3
187,calc_loss_8,6.91667366027832,7,on-policy,3
188,calc_loss_8,6.9166436195373535,8,on-policy,3
189,calc_loss_8,6.915146350860596,9,on-policy,3
190,calc_loss_8,14.032474517822266,0,on-policy,4
191,calc_loss_8,9.056703567504883,1,on-policy,4
192,calc_loss_8,7.243188858032227,2,on-policy,4
193,calc_loss_8,6.963353633880615,3,on-policy,4
194,calc_loss_8,6.928214073181152,4,on-policy,4
195,calc_loss_8,6.92071008682251,5,on-policy,4
196,calc_loss_8,6.913179397583008,6,on-policy,4
