,LossNum,cost,iteration,mode,run
0,calc_loss_1,5.368434429168701,0,on-policy,0
1,calc_loss_1,5.304738521575928,1,on-policy,0
2,calc_loss_1,4.763100624084473,2,on-policy,0
3,calc_loss_1,4.641820430755615,3,on-policy,0
4,calc_loss_1,4.62399959564209,4,on-policy,0
5,calc_loss_1,4.619009971618652,5,on-policy,0
6,calc_loss_1,4.616920471191406,6,on-policy,0
7,calc_loss_1,4.613379955291748,7,on-policy,0
8,calc_loss_1,4.616495132446289,8,on-policy,0
9,calc_loss_1,4.615565776824951,9,on-policy,0
10,calc_loss_1,5.368434429168701,0,on-policy,1
11,calc_loss_1,5.127986431121826,1,on-policy,1
12,calc_loss_1,4.718177795410156,2,on-policy,1
13,calc_loss_1,4.6327056884765625,3,on-policy,1
14,calc_loss_1,4.623252868652344,4,on-policy,1
15,calc_loss_1,4.618657112121582,5,on-policy,1
16,calc_loss_1,4.616022109985352,6,on-policy,1
17,calc_loss_1,4.614892959594727,7,on-policy,1
18,calc_loss_1,4.61527156829834,8,on-policy,1
19,calc_loss_1,4.617399215698242,9,on-policy,1
20,calc_loss_1,5.368434429168701,0,on-policy,2
21,calc_loss_1,5.209691047668457,1,on-policy,2
22,calc_loss_1,4.7234320640563965,2,on-policy,2
23,calc_loss_1,4.634801387786865,3,on-policy,2
24,calc_loss_1,4.620900630950928,4,on-policy,2
25,calc_loss_1,4.613776683807373,5,on-policy,2
26,calc_loss_1,4.615815162658691,6,on-policy,2
27,calc_loss_1,4.615451335906982,7,on-policy,2
28,calc_loss_1,4.6132636070251465,8,on-policy,2
29,calc_loss_1,4.615043640136719,9,on-policy,2
30,calc_loss_1,5.368434429168701,0,on-policy,3
31,calc_loss_1,5.141910076141357,1,on-policy,3
32,calc_loss_1,4.701412677764893,2,on-policy,3
33,calc_loss_1,4.631099700927734,3,on-policy,3
34,calc_loss_1,4.619301795959473,4,on-policy,3
35,calc_loss_1,4.616944313049316,5,on-policy,3
36,calc_loss_1,4.6141276359558105,6,on-policy,3
37,calc_loss_1,4.613166332244873,7,on-policy,3
38,calc_loss_1,4.615211486816406,8,on-policy,3
39,calc_loss_1,4.614253044128418,9,on-policy,3
40,calc_loss_1,5.368434429168701,0,on-policy,4
41,calc_loss_1,5.212380409240723,1,on-policy,4
42,calc_loss_1,4.750076770782471,2,on-policy,4
43,calc_loss_1,4.643528461456299,3,on-policy,4
