mode,LossNum,run,iteration,cost,inner iteration
on-policy,calc_loss_2,0,0,246.0121432533468,
on-policy,calc_loss_2,0,1,442.01638809466505,0.0
on-policy,calc_loss_2,0,2,180.7692220189531,0.0
on-policy,calc_loss_2,0,3,293.6688493324715,0.0
on-policy,calc_loss_2,0,4,466.59804647625634,0.0
on-policy,calc_loss_2,0,5,467.4270327391951,0.0
on-policy,calc_loss_2,0,6,467.26869215292135,0.0
on-policy,calc_loss_2,0,7,467.35253201721207,0.0
on-policy,calc_loss_2,0,8,467.32677371969567,0.0
on-policy,calc_loss_2,0,9,467.1507843873717,0.0
on-policy,calc_loss_2,0,10,279.0347129904054,0.0
on-policy,calc_loss_2,0,11,343.0971061934069,0.0
on-policy,calc_loss_2,0,12,132.17125426707412,0.0
on-policy,calc_loss_2,0,13,248.61147015768995,0.0
on-policy,calc_loss_2,0,14,195.24984037004901,0.0
on-policy,calc_loss_2,0,15,467.2877540052514,0.0
on-policy,calc_loss_2,0,16,181.31144731847533,0.0
on-policy,calc_loss_2,0,17,116.5984623034742,0.0
on-policy,calc_loss_2,0,18,453.02728962863785,0.0
on-policy,calc_loss_2,0,19,191.9443413771606,0.0
on-policy,calc_loss_2,0,20,197.63067047016534,0.0
on-policy,calc_loss_2,0,21,114.98383274068128,0.0
on-policy,calc_loss_2,0,22,194.69577099740673,0.0
on-policy,calc_loss_2,0,23,197.91599770462145,0.0
on-policy,calc_loss_2,0,24,274.1691536716672,0.0
on-policy,calc_loss_2,0,25,211.88466793452866,0.0
on-policy,calc_loss_2,0,26,462.5982182254124,0.0
on-policy,calc_loss_2,0,27,178.6048610359367,0.0
on-policy,calc_loss_2,0,28,206.93769403947354,0.0
on-policy,calc_loss_2,0,29,233.58403902246536,0.0
on-policy,calc_loss_2,0,30,226.22335709170602,0.0
on-policy,calc_loss_2,0,31,188.3266112374045,0.0
on-policy,calc_loss_2,0,32,163.36337080833115,0.0
on-policy,calc_loss_2,0,33,225.6147405785539,0.0
on-policy,calc_loss_2,0,34,179.41496466494698,0.0
on-policy,calc_loss_2,0,35,262.94486953912326,0.0
on-policy,calc_loss_2,0,36,461.0013033780561,0.0
on-policy,calc_loss_2,0,37,205.25030268351884,0.0
on-policy,calc_loss_2,0,38,332.2142367629167,0.0
on-policy,calc_loss_2,0,39,197.24965990380093,0.0
on-policy,calc_loss_2,0,40,196.5029403374764,0.0
on-policy,calc_loss_2,0,41,164.06311663284848,0.0
on-policy,calc_loss_2,0,42,172.18282228946921,0.0
on-policy,calc_loss_2,0,43,204.53899523237618,0.0
on-policy,calc_loss_2,0,44,168.70251804845924,0.0
on-policy,calc_loss_2,0,45,184.06758006682446,0.0
on-policy,calc_loss_2,0,46,238.1915560553773,0.0
on-policy,calc_loss_2,0,47,176.86884642864513,0.0
on-policy,calc_loss_2,0,48,239.82687788725437,0.0
on-policy,calc_loss_2,0,49,186.6818216634458,0.0
on-policy,calc_loss_2,0,50,222.95940027610388,0.0
on-policy,calc_loss_2,0,51,314.5368748988486,0.0
on-policy,calc_loss_2,0,52,214.7210852720956,0.0
on-policy,calc_loss_2,0,53,176.41921244615108,0.0
on-policy,calc_loss_2,0,54,173.7058045716837,0.0
on-policy,calc_loss_2,0,55,200.72555607140967,0.0
on-policy,calc_loss_2,0,56,164.97951456166248,0.0
on-policy,calc_loss_2,0,57,219.413508635886,0.0
on-policy,calc_loss_2,0,58,172.72318393420093,0.0
on-policy,calc_loss_2,0,59,195.11223619873866,0.0
on-policy,calc_loss_2,0,60,211.90974104314256,0.0
on-policy,calc_loss_2,0,61,158.58268504575943,0.0
on-policy,calc_loss_2,0,62,188.58340949647126,0.0
on-policy,calc_loss_2,0,63,463.1115494779948,0.0
on-policy,calc_loss_2,0,64,201.99566342746348,0.0
on-policy,calc_loss_2,0,65,163.28313035843803,0.0
on-policy,calc_loss_2,0,66,201.82330250243908,0.0
on-policy,calc_loss_2,0,67,177.44446440173445,0.0
on-policy,calc_loss_2,0,68,173.14386754535917,0.0
on-policy,calc_loss_2,0,69,199.6726241161667,0.0
on-policy,calc_loss_2,0,70,463.1009455090134,0.0
on-policy,calc_loss_2,0,71,206.97314856209204,0.0
on-policy,calc_loss_2,0,72,230.428074989116,0.0
on-policy,calc_loss_2,0,73,190.40726454744302,0.0
on-policy,calc_loss_2,0,74,224.85311415540426,0.0
on-policy,calc_loss_2,0,75,216.21733184353266,0.0
on-policy,calc_loss_2,0,76,198.75600942448648,0.0
on-policy,calc_loss_2,0,77,177.6281177847945,0.0
on-policy,calc_loss_2,0,78,201.41332715783543,0.0
on-policy,calc_loss_2,0,79,184.66027583744116,0.0
on-policy,calc_loss_2,0,80,196.30671446135398,0.0
on-policy,calc_loss_2,0,81,212.81294901759438,0.0
on-policy,calc_loss_2,0,82,174.95376575138056,0.0
on-policy,calc_loss_2,0,83,202.31447286518124,0.0
on-policy,calc_loss_2,0,84,238.20404316620719,0.0
on-policy,calc_loss_2,0,85,222.49971295863202,0.0
on-policy,calc_loss_2,0,86,227.474428338047,0.0
on-policy,calc_loss_2,0,87,191.71003431863056,0.0
on-policy,calc_loss_2,0,88,196.8857315516175,0.0
on-policy,calc_loss_2,0,89,187.90335048104978,0.0
on-policy,calc_loss_2,0,90,182.18018562880258,0.0
on-policy,calc_loss_2,0,91,169.9274505130907,0.0
on-policy,calc_loss_2,0,92,462.46247633416846,0.0
on-policy,calc_loss_2,0,93,200.2720418954007,0.0
on-policy,calc_loss_2,0,94,256.2994314872136,0.0
on-policy,calc_loss_2,0,95,176.42226175922607,0.0
on-policy,calc_loss_2,0,96,233.7471853659543,0.0
on-policy,calc_loss_2,0,97,163.73376093060588,0.0
on-policy,calc_loss_2,0,98,179.1255902207799,0.0
on-policy,calc_loss_2,0,99,165.4046407434484,0.0
on-policy,calc_loss_2,0,100,221.35064738834024,0.0
on-policy,calc_loss_2,0,101,181.54513539157483,0.0
on-policy,calc_loss_2,0,102,236.16342343381476,0.0
on-policy,calc_loss_2,0,103,187.44752301738066,0.0
on-policy,calc_loss_2,0,104,195.37198862620454,0.0
on-policy,calc_loss_2,0,105,183.46061031620061,0.0
on-policy,calc_loss_2,0,106,165.01908388557345,0.0
on-policy,calc_loss_2,0,107,215.85066202978936,0.0
on-policy,calc_loss_2,0,108,103.15913231796571,0.0
on-policy,calc_loss_2,0,109,223.38100393398366,0.0
on-policy,calc_loss_2,0,110,464.08542421301695,0.0
on-policy,calc_loss_2,0,111,167.08567961841646,0.0
on-policy,calc_loss_2,0,112,467.2600914576094,0.0
on-policy,calc_loss_2,0,113,187.54624166972107,0.0
on-policy,calc_loss_2,0,114,245.37997744564487,0.0
on-policy,calc_loss_2,0,115,321.6572927047704,0.0
on-policy,calc_loss_2,0,116,188.74773102282177,0.0
on-policy,calc_loss_2,0,117,301.1981024821026,0.0
on-policy,calc_loss_2,0,118,192.6636073347747,0.0
on-policy,calc_loss_2,0,119,299.1029921915949,0.0
on-policy,calc_loss_2,0,120,196.13333789262666,0.0
on-policy,calc_loss_2,0,121,306.4926356227114,0.0
on-policy,calc_loss_2,0,122,244.32320881645646,0.0
on-policy,calc_loss_2,0,123,299.7648553310367,0.0
on-policy,calc_loss_2,0,124,243.85800742813106,0.0
on-policy,calc_loss_2,0,125,180.05240692605312,0.0
on-policy,calc_loss_2,0,126,216.47078134367644,0.0
on-policy,calc_loss_2,0,127,99.97256383849668,0.0
on-policy,calc_loss_2,0,128,205.73647774611266,0.0
on-policy,calc_loss_2,0,129,289.45638284987507,0.0
on-policy,calc_loss_2,0,130,277.0638540422192,0.0
on-policy,calc_loss_2,0,131,206.91929340471674,0.0
on-policy,calc_loss_2,0,132,249.81527075524747,0.0
on-policy,calc_loss_2,0,133,415.05768071457146,0.0
on-policy,calc_loss_2,0,134,167.0022704804946,0.0
on-policy,calc_loss_2,0,135,321.1957531012832,0.0
on-policy,calc_loss_2,0,136,196.3403841256073,0.0
on-policy,calc_loss_2,0,137,418.4384060732521,0.0
on-policy,calc_loss_2,0,138,164.1358994460191,0.0
on-policy,calc_loss_2,0,139,366.5712432932378,0.0
on-policy,calc_loss_2,0,140,165.764807412564,0.0
on-policy,calc_loss_2,0,141,232.77630439017096,0.0
on-policy,calc_loss_2,0,142,181.25416600499935,0.0
on-policy,calc_loss_2,0,143,191.88404947722032,0.0
on-policy,calc_loss_2,0,144,247.2062076083571,0.0
on-policy,calc_loss_2,0,145,318.8188885715931,0.0
on-policy,calc_loss_2,0,146,216.23580447903507,0.0
on-policy,calc_loss_2,0,147,443.3633593719869,0.0
on-policy,calc_loss_2,0,148,466.5650566480671,0.0
on-policy,calc_loss_2,0,149,171.96435674171917,0.0
on-policy,calc_loss_2,0,150,430.91707729114097,0.0
on-policy,calc_loss_2,0,151,158.99827088644903,0.0
on-policy,calc_loss_2,0,152,312.4810096891924,0.0
on-policy,calc_loss_2,0,153,264.35510888755954,0.0
on-policy,calc_loss_2,0,154,451.7230241498149,0.0
on-policy,calc_loss_2,0,155,461.1569926650935,0.0
on-policy,calc_loss_2,0,156,192.8258760719105,0.0
on-policy,calc_loss_2,0,157,215.25186247475173,0.0
on-policy,calc_loss_2,0,158,189.99699583256762,0.0
on-policy,calc_loss_2,0,159,426.25390632223287,0.0
on-policy,calc_loss_2,0,160,467.05867476250194,0.0
on-policy,calc_loss_2,0,161,348.2431616729625,0.0
on-policy,calc_loss_2,0,162,419.25006293979595,0.0
on-policy,calc_loss_2,0,163,342.6129300369097,0.0
on-policy,calc_loss_2,0,164,181.88328120721795,0.0
on-policy,calc_loss_2,0,165,322.682233071664,0.0
on-policy,calc_loss_2,0,166,307.44002064426815,0.0
on-policy,calc_loss_2,0,167,149.343238663948,0.0
on-policy,calc_loss_2,0,168,466.85533891130547,0.0
on-policy,calc_loss_2,0,169,289.2309611363349,0.0
on-policy,calc_loss_2,0,170,303.76785421333165,0.0
on-policy,calc_loss_2,0,171,340.4784028793688,0.0
on-policy,calc_loss_2,0,172,232.3527760249321,0.0
on-policy,calc_loss_2,0,173,356.1982999899844,0.0
on-policy,calc_loss_2,0,174,200.39992659842935,0.0
on-policy,calc_loss_2,0,175,408.25424211339214,0.0
on-policy,calc_loss_2,0,176,180.37457111465207,0.0
on-policy,calc_loss_2,0,177,192.36550335324873,0.0
on-policy,calc_loss_2,0,178,458.72551234130873,0.0
on-policy,calc_loss_2,0,179,328.6612767036518,0.0
on-policy,calc_loss_2,0,180,199.90012019207916,0.0
on-policy,calc_loss_2,0,181,155.29536708208755,0.0
on-policy,calc_loss_2,0,182,186.39915944028255,0.0
on-policy,calc_loss_2,0,183,467.17357127750125,0.0
on-policy,calc_loss_2,0,184,193.27536576078884,0.0
on-policy,calc_loss_2,0,185,255.80846492483147,0.0
on-policy,calc_loss_2,0,186,461.3958851862941,0.0
on-policy,calc_loss_2,0,187,455.7070685521798,0.0
on-policy,calc_loss_2,0,188,196.46727475675263,0.0
on-policy,calc_loss_2,0,189,299.15202671004596,0.0
on-policy,calc_loss_2,0,190,164.1134522779935,0.0
on-policy,calc_loss_2,0,191,337.84599340746064,0.0
on-policy,calc_loss_2,0,192,339.30384062039855,0.0
on-policy,calc_loss_2,0,193,184.75615406655066,0.0
on-policy,calc_loss_2,0,194,168.8774660731289,0.0
on-policy,calc_loss_2,0,195,414.7622685913694,0.0
on-policy,calc_loss_2,0,196,256.7930177613349,0.0
on-policy,calc_loss_2,0,197,189.55196187188878,0.0
on-policy,calc_loss_2,0,198,302.6793608626739,0.0
on-policy,calc_loss_2,0,199,194.72076911775054,0.0
on-policy,calc_loss_2,0,200,274.6885223547761,0.0
on-policy,calc_loss_2,0,201,215.381583432227,0.0
on-policy,calc_loss_2,0,202,303.0958242204409,0.0
on-policy,calc_loss_2,0,203,367.9033681870875,0.0
on-policy,calc_loss_2,0,204,267.16216153298075,0.0
on-policy,calc_loss_2,0,205,218.49522146481664,0.0
on-policy,calc_loss_2,0,206,349.95261871695766,0.0
on-policy,calc_loss_2,0,207,315.1000275703954,0.0
on-policy,calc_loss_2,0,208,467.0230253083628,0.0
on-policy,calc_loss_2,0,209,193.7562821397376,0.0
on-policy,calc_loss_2,0,210,456.40042447378585,0.0
on-policy,calc_loss_2,0,211,324.52581773328166,0.0
on-policy,calc_loss_2,0,212,392.38896412375647,0.0
on-policy,calc_loss_2,0,213,169.84891383798745,0.0
on-policy,calc_loss_2,0,214,173.2845487808087,0.0
on-policy,calc_loss_2,0,215,224.84444595797046,0.0
on-policy,calc_loss_2,0,216,454.13261702278487,0.0
on-policy,calc_loss_2,0,217,310.93885487738174,0.0
on-policy,calc_loss_2,0,218,467.1088701564923,0.0
on-policy,calc_loss_2,0,219,381.40380928310225,0.0
on-policy,calc_loss_2,0,220,444.16604234538386,0.0
on-policy,calc_loss_2,0,221,467.17144343311475,0.0
on-policy,calc_loss_2,0,222,147.0256770509382,0.0
on-policy,calc_loss_2,0,223,262.7428099924847,0.0
on-policy,calc_loss_2,0,224,166.21185468954104,0.0
on-policy,calc_loss_2,0,225,391.1205402397969,0.0
on-policy,calc_loss_2,0,226,259.8331708474661,0.0
on-policy,calc_loss_2,0,227,466.9695493103717,0.0
on-policy,calc_loss_2,0,228,199.5243570751676,0.0
on-policy,calc_loss_2,0,229,251.80952472742686,0.0
on-policy,calc_loss_2,0,230,265.89399909920473,0.0
on-policy,calc_loss_2,0,231,206.15576063353242,0.0
on-policy,calc_loss_2,0,232,446.0826636276973,0.0
on-policy,calc_loss_2,0,233,183.38587348827122,0.0
on-policy,calc_loss_2,0,234,229.46210926404828,0.0
on-policy,calc_loss_2,0,235,194.4149173609839,0.0
on-policy,calc_loss_2,0,236,130.022761612699,0.0
on-policy,calc_loss_2,0,237,341.1992201968664,0.0
on-policy,calc_loss_2,0,238,261.3513573349816,0.0
on-policy,calc_loss_2,0,239,332.4843310491822,0.0
on-policy,calc_loss_2,0,240,449.0002117017976,0.0
on-policy,calc_loss_2,0,241,155.7860009307352,0.0
on-policy,calc_loss_2,0,242,411.56374550657085,0.0
on-policy,calc_loss_2,0,243,294.4921741505103,0.0
on-policy,calc_loss_2,0,244,401.9024604713787,0.0
on-policy,calc_loss_2,0,245,156.47376905776773,0.0
on-policy,calc_loss_2,0,246,156.14090482480606,0.0
on-policy,calc_loss_2,0,247,167.59505154358186,0.0
on-policy,calc_loss_2,0,248,465.37735452787496,0.0
on-policy,calc_loss_2,0,249,320.1490724878368,0.0
on-policy,calc_loss_2,0,250,386.73363228518446,0.0
on-policy,calc_loss_2,0,251,349.7907812096808,0.0
on-policy,calc_loss_2,0,252,335.7196957183513,0.0
on-policy,calc_loss_2,0,253,194.9674361368315,0.0
on-policy,calc_loss_2,0,254,306.2148754327529,0.0
on-policy,calc_loss_2,0,255,443.01675978178673,0.0
on-policy,calc_loss_2,0,256,190.55521393328303,0.0
on-policy,calc_loss_2,0,257,213.6075533234604,0.0
on-policy,calc_loss_2,0,258,136.2379526625085,0.0
on-policy,calc_loss_2,0,259,425.3821929894075,0.0
on-policy,calc_loss_2,0,260,461.2015058898466,0.0
on-policy,calc_loss_2,0,261,447.8051488688764,0.0
on-policy,calc_loss_2,0,262,467.08517671835597,0.0
on-policy,calc_loss_2,0,263,282.75884772362707,0.0
on-policy,calc_loss_2,0,264,339.85412403394173,0.0
on-policy,calc_loss_2,0,265,330.2921705987776,0.0
on-policy,calc_loss_2,0,266,293.1833048287053,0.0
on-policy,calc_loss_2,0,267,173.40061937751946,0.0
on-policy,calc_loss_2,0,268,412.0462103896097,0.0
on-policy,calc_loss_2,0,269,384.46224127792254,0.0
on-policy,calc_loss_2,0,270,250.17339217888818,0.0
on-policy,calc_loss_2,0,271,319.4355060996232,0.0
on-policy,calc_loss_2,0,272,354.2930895273202,0.0
on-policy,calc_loss_2,0,273,465.89449884742135,0.0
on-policy,calc_loss_2,0,274,271.5681010439766,0.0
on-policy,calc_loss_2,0,275,465.7119603727478,0.0
on-policy,calc_loss_2,0,276,356.55627135136314,0.0
on-policy,calc_loss_2,0,277,466.83270407668607,0.0
on-policy,calc_loss_2,0,278,451.9410785857273,0.0
on-policy,calc_loss_2,0,279,467.29311478806557,0.0
on-policy,calc_loss_2,0,280,318.5789255181318,0.0
on-policy,calc_loss_2,0,281,177.8789856829694,0.0
on-policy,calc_loss_2,0,282,211.79561519848124,0.0
on-policy,calc_loss_2,0,283,197.4863907307404,0.0
on-policy,calc_loss_2,0,284,411.49106951804396,0.0
on-policy,calc_loss_2,0,285,306.64544823410995,0.0
on-policy,calc_loss_2,0,286,366.7473113771749,0.0
on-policy,calc_loss_2,0,287,348.6868745282294,0.0
on-policy,calc_loss_2,0,288,209.03382857196277,0.0
on-policy,calc_loss_2,0,289,302.99816130613806,0.0
on-policy,calc_loss_2,0,290,326.030667242879,0.0
on-policy,calc_loss_2,0,291,315.0696278157238,0.0
on-policy,calc_loss_2,0,292,152.33263008809482,0.0
on-policy,calc_loss_2,0,293,384.6977137697625,0.0
on-policy,calc_loss_2,0,294,467.2386538853352,0.0
on-policy,calc_loss_2,0,295,156.43438407744117,0.0
on-policy,calc_loss_2,0,296,194.62273409553617,0.0
on-policy,calc_loss_2,0,297,467.01230585217564,0.0
on-policy,calc_loss_2,0,298,334.5287475614087,0.0
on-policy,calc_loss_2,0,299,220.52189043282124,0.0
on-policy,calc_loss_2,0,300,307.3805547926292,0.0
on-policy,calc_loss_2,0,301,305.29231134503385,0.0
on-policy,calc_loss_2,0,302,460.03014258524183,0.0
on-policy,calc_loss_2,0,303,241.82257456578486,0.0
on-policy,calc_loss_2,0,304,196.1708556456206,0.0
on-policy,calc_loss_2,0,305,328.13859365068674,0.0
on-policy,calc_loss_2,0,306,320.1638529450293,0.0
on-policy,calc_loss_2,0,307,157.69162604517774,0.0
on-policy,calc_loss_2,0,308,282.68648383413006,0.0
on-policy,calc_loss_2,0,309,319.78806129893286,0.0
on-policy,calc_loss_2,0,310,300.4224138644089,0.0
on-policy,calc_loss_2,0,311,302.4075475163386,0.0
on-policy,calc_loss_2,0,312,201.46947004766622,0.0
on-policy,calc_loss_2,0,313,354.5166647703136,0.0
on-policy,calc_loss_2,0,314,171.74784464637247,0.0
on-policy,calc_loss_2,0,315,466.8677678286478,0.0
on-policy,calc_loss_2,0,316,167.22535342064933,0.0
on-policy,calc_loss_2,0,317,278.9813382291493,0.0
on-policy,calc_loss_2,0,318,336.5865425022428,0.0
on-policy,calc_loss_2,0,319,226.2757956160677,0.0
on-policy,calc_loss_2,0,320,325.2954346255708,0.0
on-policy,calc_loss_2,0,321,458.777242028914,0.0
on-policy,calc_loss_2,0,322,273.278509174631,0.0
on-policy,calc_loss_2,0,323,155.75733206292307,0.0
on-policy,calc_loss_2,0,324,467.23220154377736,0.0
on-policy,calc_loss_2,0,325,366.39391077414444,0.0
on-policy,calc_loss_2,0,326,297.3120540727696,0.0
on-policy,calc_loss_2,0,327,194.79783219079633,0.0
on-policy,calc_loss_2,0,328,331.7760533683436,0.0
on-policy,calc_loss_2,0,329,400.5687862485269,0.0
